,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,10848514,42377,NIFTY2440420050CE,NIFTY,0.0,2024-04-04,20050.0,0.05,50,CE,NFO-OPT,NFO
1,10903810,42593,NIFTY2440420100CE,NIFTY,0.0,2024-04-04,20100.0,0.05,50,CE,NFO-OPT,NFO
2,10904834,42597,NIFTY2440420150CE,NIFTY,0.0,2024-04-04,20150.0,0.05,50,CE,NFO-OPT,NFO
3,10905858,42601,NIFTY2440420200CE,NIFTY,0.0,2024-04-04,20200.0,0.05,50,CE,NFO-OPT,NFO
4,10906370,42603,NIFTY2440420250CE,NIFTY,0.0,2024-04-04,20250.0,0.05,50,CE,NFO-OPT,NFO
5,11526146,45024,NIFTY2440420300CE,NIFTY,0.0,2024-04-04,20300.0,0.05,50,CE,NFO-OPT,NFO
6,11526658,45026,NIFTY2440420350CE,NIFTY,0.0,2024-04-04,20350.0,0.05,50,CE,NFO-OPT,NFO
7,11527682,45030,NIFTY2440420400CE,NIFTY,0.0,2024-04-04,20400.0,0.05,50,CE,NFO-OPT,NFO
8,11677186,45614,NIFTY2440420450CE,NIFTY,0.0,2024-04-04,20450.0,0.05,50,CE,NFO-OPT,NFO
9,11677698,45616,NIFTY2440420500CE,NIFTY,0.0,2024-04-04,20500.0,0.05,50,CE,NFO-OPT,NFO
10,11678722,45620,NIFTY2440420550CE,NIFTY,0.0,2024-04-04,20550.0,0.05,50,CE,NFO-OPT,NFO
11,11681026,45629,NIFTY2440420600CE,NIFTY,0.0,2024-04-04,20600.0,0.05,50,CE,NFO-OPT,NFO
12,11683074,45637,NIFTY2440420650CE,NIFTY,0.0,2024-04-04,20650.0,0.05,50,CE,NFO-OPT,NFO
13,11683586,45639,NIFTY2440420700CE,NIFTY,0.0,2024-04-04,20700.0,0.05,50,CE,NFO-OPT,NFO
14,11684098,45641,NIFTY2440420750CE,NIFTY,0.0,2024-04-04,20750.0,0.05,50,CE,NFO-OPT,NFO
15,11684610,45643,NIFTY2440420800CE,NIFTY,0.0,2024-04-04,20800.0,0.05,50,CE,NFO-OPT,NFO
16,11686146,45649,NIFTY2440420850CE,NIFTY,0.0,2024-04-04,20850.0,0.05,50,CE,NFO-OPT,NFO
17,11687426,45654,NIFTY2440420900CE,NIFTY,0.0,2024-04-04,20900.0,0.05,50,CE,NFO-OPT,NFO
18,11691266,45669,NIFTY2440420950CE,NIFTY,0.0,2024-04-04,20950.0,0.05,50,CE,NFO-OPT,NFO
19,11691778,45671,NIFTY2440421000CE,NIFTY,0.0,2024-04-04,21000.0,0.05,50,CE,NFO-OPT,NFO
20,11692290,45673,NIFTY2440421050CE,NIFTY,0.0,2024-04-04,21050.0,0.05,50,CE,NFO-OPT,NFO
21,11692802,45675,NIFTY2440421100CE,NIFTY,0.0,2024-04-04,21100.0,0.05,50,CE,NFO-OPT,NFO
22,11693314,45677,NIFTY2440421150CE,NIFTY,0.0,2024-04-04,21150.0,0.05,50,CE,NFO-OPT,NFO
23,11694850,45683,NIFTY2440421200CE,NIFTY,0.0,2024-04-04,21200.0,0.05,50,CE,NFO-OPT,NFO
24,11695362,45685,NIFTY2440421250CE,NIFTY,0.0,2024-04-04,21250.0,0.05,50,CE,NFO-OPT,NFO
25,11695874,45687,NIFTY2440421300CE,NIFTY,0.0,2024-04-04,21300.0,0.05,50,CE,NFO-OPT,NFO
26,11696386,45689,NIFTY2440421350CE,NIFTY,0.0,2024-04-04,21350.0,0.05,50,CE,NFO-OPT,NFO
27,11699458,45701,NIFTY2440421400CE,NIFTY,0.0,2024-04-04,21400.0,0.05,50,CE,NFO-OPT,NFO
28,11699970,45703,NIFTY2440421450CE,NIFTY,0.0,2024-04-04,21450.0,0.05,50,CE,NFO-OPT,NFO
29,11701762,45710,NIFTY2440421500CE,NIFTY,0.0,2024-04-04,21500.0,0.05,50,CE,NFO-OPT,NFO
30,11702786,45714,NIFTY2440421550CE,NIFTY,0.0,2024-04-04,21550.0,0.05,50,CE,NFO-OPT,NFO
31,11703554,45717,NIFTY2440421600CE,NIFTY,0.0,2024-04-04,21600.0,0.05,50,CE,NFO-OPT,NFO
32,11704066,45719,NIFTY2440421650CE,NIFTY,0.0,2024-04-04,21650.0,0.05,50,CE,NFO-OPT,NFO
33,11704578,45721,NIFTY2440421700CE,NIFTY,0.0,2024-04-04,21700.0,0.05,50,CE,NFO-OPT,NFO
34,11705090,45723,NIFTY2440421750CE,NIFTY,0.0,2024-04-04,21750.0,0.05,50,CE,NFO-OPT,NFO
35,11706626,45729,NIFTY2440421800CE,NIFTY,0.0,2024-04-04,21800.0,0.05,50,CE,NFO-OPT,NFO
36,11707138,45731,NIFTY2440421850CE,NIFTY,0.0,2024-04-04,21850.0,0.05,50,CE,NFO-OPT,NFO
37,11707906,45734,NIFTY2440421900CE,NIFTY,0.0,2024-04-04,21900.0,0.05,50,CE,NFO-OPT,NFO
38,11709442,45740,NIFTY2440421950CE,NIFTY,0.0,2024-04-04,21950.0,0.05,50,CE,NFO-OPT,NFO
39,11709954,45742,NIFTY2440422000CE,NIFTY,0.0,2024-04-04,22000.0,0.05,50,CE,NFO-OPT,NFO
40,11710722,45745,NIFTY2440422050CE,NIFTY,0.0,2024-04-04,22050.0,0.05,50,CE,NFO-OPT,NFO
41,11712258,45751,NIFTY2440422100CE,NIFTY,0.0,2024-04-04,22100.0,0.05,50,CE,NFO-OPT,NFO
42,11712770,45753,NIFTY2440422150CE,NIFTY,0.0,2024-04-04,22150.0,0.05,50,CE,NFO-OPT,NFO
43,11713794,45757,NIFTY2440422200CE,NIFTY,0.0,2024-04-04,22200.0,0.05,50,CE,NFO-OPT,NFO
44,11714818,45761,NIFTY2440422250CE,NIFTY,0.0,2024-04-04,22250.0,0.05,50,CE,NFO-OPT,NFO
45,11715586,45764,NIFTY2440422300CE,NIFTY,0.0,2024-04-04,22300.0,0.05,50,CE,NFO-OPT,NFO
46,11716098,45766,NIFTY2440422350CE,NIFTY,0.0,2024-04-04,22350.0,0.05,50,CE,NFO-OPT,NFO
47,11717378,45771,NIFTY2440422400CE,NIFTY,0.0,2024-04-04,22400.0,0.05,50,CE,NFO-OPT,NFO
48,11719938,45781,NIFTY2440422450CE,NIFTY,0.0,2024-04-04,22450.0,0.05,50,CE,NFO-OPT,NFO
49,11722498,45791,NIFTY2440422500CE,NIFTY,0.0,2024-04-04,22500.0,0.05,50,CE,NFO-OPT,NFO
50,11724546,45799,NIFTY2440422550CE,NIFTY,0.0,2024-04-04,22550.0,0.05,50,CE,NFO-OPT,NFO
51,11726594,45807,NIFTY2440422600CE,NIFTY,0.0,2024-04-04,22600.0,0.05,50,CE,NFO-OPT,NFO
52,11727106,45809,NIFTY2440422650CE,NIFTY,0.0,2024-04-04,22650.0,0.05,50,CE,NFO-OPT,NFO
53,11727618,45811,NIFTY2440422700CE,NIFTY,0.0,2024-04-04,22700.0,0.05,50,CE,NFO-OPT,NFO
54,11728130,45813,NIFTY2440422750CE,NIFTY,0.0,2024-04-04,22750.0,0.05,50,CE,NFO-OPT,NFO
55,11728642,45815,NIFTY2440422800CE,NIFTY,0.0,2024-04-04,22800.0,0.05,50,CE,NFO-OPT,NFO
56,11729410,45818,NIFTY2440422850CE,NIFTY,0.0,2024-04-04,22850.0,0.05,50,CE,NFO-OPT,NFO
57,11731202,45825,NIFTY2440422900CE,NIFTY,0.0,2024-04-04,22900.0,0.05,50,CE,NFO-OPT,NFO
58,11731714,45827,NIFTY2440422950CE,NIFTY,0.0,2024-04-04,22950.0,0.05,50,CE,NFO-OPT,NFO
59,11732226,45829,NIFTY2440423000CE,NIFTY,0.0,2024-04-04,23000.0,0.05,50,CE,NFO-OPT,NFO
60,11733762,45835,NIFTY2440423050CE,NIFTY,0.0,2024-04-04,23050.0,0.05,50,CE,NFO-OPT,NFO
61,11735298,45841,NIFTY2440423100CE,NIFTY,0.0,2024-04-04,23100.0,0.05,50,CE,NFO-OPT,NFO
62,11735810,45843,NIFTY2440423150CE,NIFTY,0.0,2024-04-04,23150.0,0.05,50,CE,NFO-OPT,NFO
63,11736322,45845,NIFTY2440423200CE,NIFTY,0.0,2024-04-04,23200.0,0.05,50,CE,NFO-OPT,NFO
64,11736834,45847,NIFTY2440423250CE,NIFTY,0.0,2024-04-04,23250.0,0.05,50,CE,NFO-OPT,NFO
65,11737346,45849,NIFTY2440423300CE,NIFTY,0.0,2024-04-04,23300.0,0.05,50,CE,NFO-OPT,NFO
66,11737858,45851,NIFTY2440423350CE,NIFTY,0.0,2024-04-04,23350.0,0.05,50,CE,NFO-OPT,NFO
67,11738882,45855,NIFTY2440423400CE,NIFTY,0.0,2024-04-04,23400.0,0.05,50,CE,NFO-OPT,NFO
68,11740418,45861,NIFTY2440423450CE,NIFTY,0.0,2024-04-04,23450.0,0.05,50,CE,NFO-OPT,NFO
69,11744514,45877,NIFTY2440423500CE,NIFTY,0.0,2024-04-04,23500.0,0.05,50,CE,NFO-OPT,NFO
70,11745026,45879,NIFTY2440423550CE,NIFTY,0.0,2024-04-04,23550.0,0.05,50,CE,NFO-OPT,NFO
71,11745538,45881,NIFTY2440423600CE,NIFTY,0.0,2024-04-04,23600.0,0.05,50,CE,NFO-OPT,NFO
72,11746818,45886,NIFTY2440423650CE,NIFTY,0.0,2024-04-04,23650.0,0.05,50,CE,NFO-OPT,NFO
73,11747330,45888,NIFTY2440423700CE,NIFTY,0.0,2024-04-04,23700.0,0.05,50,CE,NFO-OPT,NFO
74,11748354,45892,NIFTY2440423750CE,NIFTY,0.0,2024-04-04,23750.0,0.05,50,CE,NFO-OPT,NFO
75,11748866,45894,NIFTY2440423800CE,NIFTY,0.0,2024-04-04,23800.0,0.05,50,CE,NFO-OPT,NFO
76,11749890,45898,NIFTY2440423850CE,NIFTY,0.0,2024-04-04,23850.0,0.05,50,CE,NFO-OPT,NFO
77,11751682,45905,NIFTY2440423900CE,NIFTY,0.0,2024-04-04,23900.0,0.05,50,CE,NFO-OPT,NFO
78,11752194,45907,NIFTY2440423950CE,NIFTY,0.0,2024-04-04,23950.0,0.05,50,CE,NFO-OPT,NFO
79,11754242,45915,NIFTY2440424000CE,NIFTY,0.0,2024-04-04,24000.0,0.05,50,CE,NFO-OPT,NFO
80,11756290,45923,NIFTY2440424050CE,NIFTY,0.0,2024-04-04,24050.0,0.05,50,CE,NFO-OPT,NFO
81,11757570,45928,NIFTY2440424100CE,NIFTY,0.0,2024-04-04,24100.0,0.05,50,CE,NFO-OPT,NFO
82,11758594,45932,NIFTY2440424150CE,NIFTY,0.0,2024-04-04,24150.0,0.05,50,CE,NFO-OPT,NFO
83,11759362,45935,NIFTY2440424200CE,NIFTY,0.0,2024-04-04,24200.0,0.05,50,CE,NFO-OPT,NFO
84,11760130,45938,NIFTY2440424250CE,NIFTY,0.0,2024-04-04,24250.0,0.05,50,CE,NFO-OPT,NFO
